"Powertrain","Year","Country","chemistry","MWh","chem_share_mwh"
"BEV","2022","Lebanon","NMC 811",3.02503329922096,0.185069395623292
"BEV","2022","Lithuania","NMC 111",1.90250301298827,0.0234794302373643
"BEV","2022","Lithuania","LFP",1.265,0.0156117909130738
"BEV","2022","Lithuania","NMC 622",35.9365787298894,0.443505417598615
"BEV","2022","Lithuania","NMC 532",15.6686262911483,0.19337179253162
"BEV","2022","Lithuania","NMC 811",8.66879196597403,0.106984480349186
"BEV","2022","Lithuania","NMC 721",16.147,0.199275563536287
"BEV","2022","Lithuania","NMCA 89:4:4:3",1.44,0.0177715248338548
"BEV","2022","Luxembourg","NMC 111",10.7942821837814,0.0259174279552789
"BEV","2022","Luxembourg","LMO",0.0061,1.4646301424725e-05
"BEV","2022","Luxembourg","LFP",4.4228,0.0106192888428317
"BEV","2022","Luxembourg","NMC 622",122.391075901898,0.293865014648457
"BEV","2022","Luxembourg","NMC 532",93.9986315076468,0.225693818126663
"BEV","2022","Luxembourg","NMC 811",59.4385104066738,0.14271382617259
"BEV","2022","Luxembourg","NMC 721",70.296,0.168783017205322
"BEV","2022","Luxembourg","NMCA 89:4:4:3",52.64,0.126390378196315
"BEV","2022","Luxembourg","NCA",2.5,0.00600258255111679
"BEV","2022","Macedonia, FYR","NMC 111",0.04959034853235,0.0112700214836485
"BEV","2022","Macedonia, FYR","NMC 622",1.29877432685294,0.295162566895355
"BEV","2022","Macedonia, FYR","NMC 532",2.19130691762585,0.498001663021191
"BEV","2022","Macedonia, FYR","NMC 811",0.210528406988865,0.0478451904433582
"BEV","2022","Macedonia, FYR","NMC 721",0.65,0.147720558156447
"BEV","2022","Malaysia","NMC 111",5.19335178793922,0.0468690794946029
"BEV","2022","Malaysia","LFP",1.0994,0.009921890158882
"BEV","2022","Malaysia","NMC 622",47.3209245052794,0.427062957211325
"BEV","2022","Malaysia","NMC 532",17.5592255106449,0.15846889830058
"BEV","2022","Malaysia","NMC 811",22.0475981961364,0.198975666335484
"BEV","2022","Malaysia","NMCA 89:4:4:3",17.585,0.158701508499127
"BEV","2022","Malta","NMC 111",0.156264162487621,0.014706108009526
"BEV","2022","Malta","NMC 622",3.88993883009993,0.366084325895456
"BEV","2022","Malta","NMC 532",3.31120087950447,0.311618972642481
"BEV","2022","Malta","NMC 811",0.663396127907977,0.0624325818204726
"BEV","2022","Malta","NMC 721",2.045,0.192456097423253
"BEV","2022","Malta","NMCA 89:4:4:3",0.56,0.0527019142088125
"BEV","2022","Mauritius","NMC 111",0.227864352250616,0.024304493914992
"BEV","2022","Mauritius","NMC 622",5.30340746860242,0.565672661284043
"BEV","2022","Mauritius","NMC 532",2.87676415552899,0.306841751341702
"BEV","2022","Mauritius","NMC 811",0.967364023617975,0.103181093459263
"BEV","2022","Mexico","NMC 111",9.83230251630625,0.0193212965077443
"BEV","2022","Mexico","LFP",59.575,0.117069855971162
"BEV","2022","Mexico","NMC 622",118.888783945296,0.233626400554971
"BEV","2022","Mexico","NMC 532",33.6668300367793,0.0661581358524775
"BEV","2022","Mexico","NMC 811",45.1462835016183,0.0887162216897642
"BEV","2022","Mexico","NCA",241.775,0.475108089423881
"BEV","2022","Moldova","NMC 111",0.0755212280681374,0.0354443272483866
"BEV","2022","Moldova","NMC 622",1.10477269863492,0.518502228673638
"BEV","2022","Moldova","NMC 532",0.254791995969861,0.119581356347614
"BEV","2022","Moldova","NMC 811",0.32061407732708,0.150473589584212
"BEV","2022","Moldova","NMC 721",0.375,0.175998498146149
"BEV","2022","Mongolia","NMC 111",0.51696796294983,0.033927793175289
"BEV","2022","Mongolia","LFP",7.0893,0.465259593235022
"BEV","2022","Mongolia","NMC 622",3.69218579221822,0.242312338289475
"BEV","2022","Mongolia","NMC 532",1.74413608599717,0.114464904280756
"BEV","2022","Mongolia","NMC 811",2.19471015883479,0.144035371019458
"BEV","2022","Morocco","NMC 111",0.78813504405578,0.04207740510479
"BEV","2022","Morocco","NMC 622",11.9375614006327,0.637329364816542
"BEV","2022","Morocco","NMC 532",2.65899411470891,0.141959900628325
"BEV","2022","Morocco","NMC 811",3.34590944060258,0.178633329450342
"BEV","2022","Nepal","NMC 111",0.303924881703765,0.011155703908169
"BEV","2022","Nepal","LFP",5.5637,0.204218191962237
"BEV","2022","Nepal","NMC 622",10.7696318583559,0.395304338158482
"BEV","2022","Nepal","NMC 532",8.30937563563373,0.304999491101998
"BEV","2022","Nepal","NMC 811",2.29726762430663,0.084322274869113
"BEV","2022","Netherlands","NMC 111",140.871758626899,0.0270907577182645
"BEV","2022","Netherlands","LMO",0.0061,1.17307843454337e-06
"BEV","2022","Netherlands","LFP",35.4946,0.00682589341028574
"BEV","2022","Netherlands","NMC 622",1392.15816383729,0.267723068765741
"BEV","2022","Netherlands","NMC 532",1284.10829782869,0.246944221606726
"BEV","2022","Netherlands","NMC 811",696.374379707119,0.133918322492285
"BEV","2022","Netherlands","NMC 721",1279.88,0.246131086361207
"BEV","2022","Netherlands","NMCA 89:4:4:3",357.2,0.0686923961998182
"BEV","2022","Netherlands","NCA",13.9,0.00267308036723817
"BEV","2022","New Zealand","NMC 111",16.0173716845624,0.0144124800565962
"BEV","2022","New Zealand","LFP",191.6994,0.172491706740146
"BEV","2022","New Zealand","NMC 622",237.004087186855,0.213257002907943
"BEV","2022","New Zealand","NMC 532",149.135085514058,0.134192206314457
"BEV","2022","New Zealand","NMC 811",69.0793556145243,0.0621578155719776
"BEV","2022","New Zealand","NMC 721",1.539,0.00138479690950042
"BEV","2022","New Zealand","NMCA 89:4:4:3",446.88,0.402103991499381
"BEV","2022","Nigeria","NMC 622",42.411,0.988878007834359
"BEV","2022","Nigeria","NMC 811",0.477,0.0111219921656407
"BEV","2022","Norway","NMC 111",294.523024938306,0.0267930090048863
"BEV","2022","Norway","LFP",396.6658,0.0360850237551263
"BEV","2022","Norway","NMC 622",3114.54488640994,0.283332785968717
"BEV","2022","Norway","NMC 532",1612.22564091677,0.146665531919075
"BEV","2022","Norway","NMC 811",1799.90124773498,0.163738540810421
"BEV","2022","Norway","NMC 721",2209.592,0.201008455503693
"BEV","2022","Norway","NMCA 89:4:4:3",1487.68,0.135335509489415
"BEV","2022","Norway","NCA",77.4,0.00704114354866685
"BEV","2022","Oman","NMC 111",0.33602917591739,0.0272423692250697
"BEV","2022","Oman","NMC 622",7.50052076494184,0.608078020311788
"BEV","2022","Oman","NMC 532",2.06368845589816,0.167306195146914
"BEV","2022","Oman","NMC 811",2.43456160324261,0.197373415316228
"BEV","2022","Pakistan","NMC 111",0.0548437784945794,0.0634472217660568
"BEV","2022","Pakistan","NMC 622",0.391694329748825,0.45314013159281
"BEV","2022","Pakistan","NMC 532",0.185030833669115,0.214056957044326
"BEV","2022","Pakistan","NMC 811",0.23283105808748,0.269355689596808
"BEV","2022","Panama","NMC 111",0.180069560094246,0.0166518300777012
"BEV","2022","Panama","LFP",4.8591,0.449342506796871
"BEV","2022","Panama","NMC 622",2.29405700747355,0.21214161603447
"BEV","2022","Panama","NMC 532",1.1751150497875,0.108668095376972
"BEV","2022","Panama","NMC 811",1.6654583826447,0.154012315989264
"BEV","2022","Panama","NCA",0.64,0.0591836357247221
"BEV","2022","Paraguay","NMC 111",0.334601613427654,0.032642467531111
"BEV","2022","Paraguay","LFP",0.5736,0.0559582459392225
"BEV","2022","Paraguay","NMC 622",6.792925111981,0.662692074726209
"BEV","2022","Paraguay","NMC 532",1.12887217436466,0.110128498547843
"BEV","2022","Paraguay","NMC 811",1.42050110022668,0.138578713255615
