"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2013","Canada","NMC 532",21.6274587119305,0.0103447669331545
"BEV","2013","Canada","NMC 811",27.214621454103,0.013017198176937
"BEV","2013","Canada","NCA",1416.1218,0.677354198895223
"BEV","2013","China","NMC 111",46.9595844475847,0.14122992154267
"BEV","2013","China","LMO",5.184,0.0155907664407549
"BEV","2013","China","LFP",229.7777,0.69105139930437
"BEV","2013","China","NMC 622",24.4740985073277,0.0736053151380738
"BEV","2013","China","NMC 532",11.561216249964,0.0347701046150173
"BEV","2013","China","NMC 811",14.5479007951236,0.0437524929591136
"BEV","2013","EFTA","NMC 111",34.0930518419912,0.0319444999165537
"BEV","2013","EFTA","LMO",398.2966,0.373195857162681
"BEV","2013","EFTA","LFP",3,0.00281093931378787
"BEV","2013","EFTA","NMC 622",99.760060387525,0.0934731585630487
"BEV","2013","EFTA","NMC 532",214.00737482837,0.200520581115201
"BEV","2013","EFTA","NMC 811",26.0518129421136,0.0244100217314783
"BEV","2013","EFTA","NCA",292.05,0.273644942197249
"BEV","2013","European Union","NMC 111",34.0930518419912,0.0319444999165537
"BEV","2013","European Union","LMO",398.2966,0.373195857162681
"BEV","2013","European Union","LFP",3,0.00281093931378787
"BEV","2013","European Union","NMC 622",99.760060387525,0.0934731585630487
"BEV","2013","European Union","NMC 532",214.00737482837,0.200520581115201
"BEV","2013","European Union","NMC 811",26.0518129421136,0.0244100217314783
"BEV","2013","European Union","NCA",292.05,0.273644942197249
"BEV","2013","India","LMO",0.504,1
"BEV","2013","Japan","NMC 111",8.16712208485423,0.0209341673848503
"BEV","2013","Japan","LMO",324.4081,0.831530788427349
"BEV","2013","Japan","LFP",3.6504,0.0093567946980214
"BEV","2013","Japan","NMC 622",26.0827459744821,0.0668559333891829
"BEV","2013","Japan","NMC 532",12.3211184474714,0.0315817926153282
"BEV","2013","Japan","NMC 811",15.5041134931922,0.0397405234852682
"BEV","2013","Mexico","NMC 111",6.41045349835531,0.00306622466650365
"BEV","2013","Mexico","LMO",553.92,0.264948988040465
"BEV","2013","Mexico","NMC 622",65.3722663356111,0.0312686232877165
"BEV","2013","Mexico","NMC 532",21.6274587119305,0.0103447669331545
"BEV","2013","Mexico","NMC 811",27.214621454103,0.013017198176937
"BEV","2013","Mexico","NCA",1416.1218,0.677354198895223
"BEV","2013","Middle East","NMC 111",0.0944094659878924,0.00803348076820051
"BEV","2013","Middle East","LMO",10.264,0.873383253914227
"BEV","2013","Middle East","NMC 622",0.674272515810101,0.0573751289831604
"BEV","2013","Middle East","NMC 532",0.318516752081957,0.0271031953779745
"BEV","2013","Middle East","NMC 811",0.40080126612005,0.0341049409564372
