"Region","Country","Powertrain","kwh_veh","Vehicle"
"Africa","Seychelles","PHEV",16.1937639198218,"Car"
"Africa","Sierra Leone","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Solomon Islands","PHEV",14.7593186182247,"Car"
"Africa","Somalia","PHEV",16.1937639198218,"Car"
"Africa","South Sudan","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Sri Lanka","PHEV",14.7593186182247,"Car"
"Other Latin America and Caribbean","St. Kitts and Nevis","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","St. Lucia","PHEV",16.6129090909091,"Car"
"Other Latin America and Caribbean","St. Vincent and the Grenadines","PHEV",16.6129090909091,"Car"
"Africa","Sudan","PHEV",16.1937639198218,"Car"
"Africa","Swaziland","PHEV",16.1937639198218,"Car"
"Middle East","Syrian Arab Republic","PHEV",15.504639959432,"Car"
"Other Asia Pacific","Tajikistan","PHEV",14.7593186182247,"Car"
"Africa","Tanzania","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Timor-Leste","PHEV",14.7593186182247,"Car"
"Africa","Togo","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Tonga","PHEV",14.7593186182247,"Car"
"Other Latin America and Caribbean","Trinidad and Tobago","PHEV",16.6129090909091,"Car"
"Other Asia Pacific","Turkmenistan","PHEV",14.7593186182247,"Car"
"Africa","Uganda","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Uzbekistan","PHEV",14.7593186182247,"Car"
"Other Asia Pacific","Vanuatu","PHEV",14.7593186182247,"Car"
"Other Latin America and Caribbean","Venezuela, RB","PHEV",16.6129090909091,"Car"
"Middle East","Yemen, Rep.","PHEV",15.504639959432,"Car"
"Africa","Zambia","PHEV",16.1937639198218,"Car"
"Africa","Zimbabwe","PHEV",16.1937639198218,"Car"
"Other Asia Pacific","Afghanistan","BEV",163,"Van"
"Other Europe","Albania","BEV",163,"Van"
"Africa","Algeria","BEV",163,"Van"
"Africa","Angola","BEV",163,"Van"
"Other Latin America and Caribbean","Antigua and Barbuda","BEV",163,"Van"
"Other Latin America and Caribbean","Argentina","BEV",163,"Van"
"Other Europe","Armenia","BEV",163,"Van"
"Other Latin America and Caribbean","Aruba","BEV",163,"Van"
"Australia/NZ","Australia","BEV",163,"Van"
"European Union","Austria","BEV",163,"Van"
"Other Europe","Azerbaijan","BEV",163,"Van"
"Other Latin America and Caribbean","Bahamas, The","BEV",163,"Van"
"Middle East","Bahrain","BEV",163,"Van"
"Other Asia Pacific","Bangladesh","BEV",163,"Van"
"Other Latin America and Caribbean","Barbados","BEV",163,"Van"
"Other Europe","Belarus","BEV",163,"Van"
"European Union","Belgium","BEV",163,"Van"
"Other Latin America and Caribbean","Belize","BEV",163,"Van"
"Africa","Benin","BEV",163,"Van"
"Other Latin America and Caribbean","Bermuda","BEV",163,"Van"
"Other Asia Pacific","Bhutan","BEV",163,"Van"
"Other Latin America and Caribbean","Bolivia","BEV",163,"Van"
"Other Europe","Bosnia and Herzegovina","BEV",163,"Van"
"Africa","Botswana","BEV",163,"Van"
"Brazil","Brazil","BEV",163,"Van"
"ASEAN","Brunei Darussalam","BEV",163,"Van"
"European Union","Bulgaria","BEV",163,"Van"
"Africa","Burkina Faso","BEV",163,"Van"
"Africa","Burundi","BEV",163,"Van"
"Africa","Cabo Verde","BEV",163,"Van"
"ASEAN","Cambodia","BEV",163,"Van"
"Africa","Cameroon","BEV",163,"Van"
"Canada","Canada","BEV",163,"Van"
"Other Latin America and Caribbean","Cayman Islands","BEV",163,"Van"
"Africa","Central African Republic","BEV",163,"Van"
"Africa","Chad","BEV",163,"Van"
"Other Latin America and Caribbean","Chile","BEV",163,"Van"
"China","China","BEV",163,"Van"
"Other Latin America and Caribbean","Colombia","BEV",163,"Van"
"Africa","Comoros","BEV",163,"Van"
"Africa","Congo, Dem. Rep.","BEV",163,"Van"
"Africa","Congo, Rep.","BEV",163,"Van"
"Other Latin America and Caribbean","Costa Rica","BEV",163,"Van"
"Africa","Cote d'Ivoire","BEV",163,"Van"
"European Union","Croatia","BEV",163,"Van"
"Other Latin America and Caribbean","Cuba","BEV",163,"Van"
"European Union","Cyprus","BEV",163,"Van"
"European Union","Czechia","BEV",163,"Van"
"European Union","Denmark","BEV",163,"Van"
"Africa","Djibouti","BEV",163,"Van"
"Other Latin America and Caribbean","Dominica","BEV",163,"Van"
"Other Latin America and Caribbean","Dominican Republic","BEV",163,"Van"
"Other Latin America and Caribbean","Ecuador","BEV",163,"Van"
"Middle East","Egypt, Arab Rep.","BEV",163,"Van"
"Other Latin America and Caribbean","El Salvador","BEV",163,"Van"
"Africa","Equatorial Guinea","BEV",163,"Van"
"Africa","Eritrea","BEV",163,"Van"
"European Union","Estonia","BEV",163,"Van"
"Africa","Ethiopia","BEV",163,"Van"
"Other Asia Pacific","Fiji","BEV",163,"Van"
"European Union","Finland","BEV",163,"Van"
"European Union","France","BEV",163,"Van"
"Other Asia Pacific","French Polynesia","BEV",163,"Van"
"Africa","Gabon","BEV",163,"Van"
"Africa","Gambia, The","BEV",163,"Van"
"Other Europe","Georgia","BEV",163,"Van"
"European Union","Germany","BEV",163,"Van"
"Africa","Ghana","BEV",163,"Van"
"European Union","Greece","BEV",163,"Van"
"Other Latin America and Caribbean","Grenada","BEV",163,"Van"
"Other Latin America and Caribbean","Guatemala","BEV",163,"Van"
"Africa","Guinea","BEV",163,"Van"
"Africa","Guinea-Bissau","BEV",163,"Van"
"Other Latin America and Caribbean","Guyana","BEV",163,"Van"
"Other Latin America and Caribbean","Haiti","BEV",163,"Van"
"Other Latin America and Caribbean","Honduras","BEV",163,"Van"
"European Union","Hungary","BEV",163,"Van"
"EFTA","Iceland","BEV",163,"Van"
"India","India","BEV",163,"Van"
"ASEAN","Indonesia","BEV",163,"Van"
"Middle East","Iran, Islamic Rep.","BEV",163,"Van"
"Middle East","Iraq","BEV",163,"Van"
"European Union","Ireland","BEV",163,"Van"
"Middle East","Israel","BEV",163,"Van"
"European Union","Italy","BEV",163,"Van"
"Other Latin America and Caribbean","Jamaica","BEV",163,"Van"
"Japan","Japan","BEV",163,"Van"
"Middle East","Jordan","BEV",163,"Van"
"Other Asia Pacific","Kazakhstan","BEV",163,"Van"
"Africa","Kenya","BEV",163,"Van"
